quantity_in_kg,state,facility_name,site_address_suburb,site_latitude,site_longitude
1438.1,VIC,Warrnambool-TARRONE,Tarrone,-38.214972,142.227118
162087.6254,WA,Collie Power Station,Collie,-33.344444,116.259444
6260,QLD,Bellevue CPP,Via Miles,-26.693857,150.277238
142.82,NSW,VISY Beverage Smithfield,Smithfield,-33.83649,150.925334
43796,SA,IRON ORE MINES,Whyalla,-33.240216,137.106632
1454.5372,QLD,Kenya Water Treatment Plant,Chinchilla,-26.950937,150.475423
114.114624,NSW,LMS Stotts Creek Renewable Energy Facility,Stotts Creek,-28.290752,153.498356
1927.28448,NSW,LMS Wyong Renewable Energy Facility,Jilliby,-33.209368,151.42269
599.9233855,QLD,Swanbank Renewable Energy Facility,Swanbank,-27.659114,152.823822
166.0581,VIC,Bega Dairy & Drinks - Chelsea Heights,Chelsea Heights,-38.021054,145.121488
